Scheme Name;Net Asset Value
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option;10.6816
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option;24.7804
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option;10.2816
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option;10.4856
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION;10.4507
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION;23.4808
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION;10.2328
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION;10.3720
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION;20.0147
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment);12.1156
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION;18.9277
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment);11.4600
DSP Corporate Bond Fund - Direct - Growth;13.9538
DSP Corporate Bond Fund - Direct - IDCW;11.3935
DSP Corporate Bond Fund - Direct - IDCW - Monthly;10.4560
DSP Corporate Bond Fund - Direct - IDCW - Quarterly ;11.3876
DSP Corporate Bond Fund - Regular - Growth;13.7870
DSP Corporate Bond Fund - Regular - IDCW;11.3677
DSP Corporate Bond Fund - Regular - IDCW - Monthly;10.4365
DSP Corporate Bond Fund - Regular - IDCW - Quarterly ;10.7395
Franklin India Corporate Debt Fund - Direct - Bonus;0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH;90.9346
Franklin India Corporate Debt Fund - Growth;84.9171
Franklin India Corporate Debt Fund - Monthly Bonus;0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW;16.4283
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW;18.3778
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW;14.7341
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW;16.5985
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW;13.7319
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW;12.8589
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW;14.8994
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW;12.2658
HDFC Corporate Bond Fund - Growth Option;27.7209
HDFC Corporate Bond Fund - Growth Option - Direct Plan;28.1849
HDFC Corporate Bond Fund - IDCW Option;17.9583
HDFC Corporate Bond Fund - IDCW Option - Direct Plan;18.4458
HDFC Corporate Bond Fund - Quarterly IDCW Option;10.5109
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan;10.3524
HSBC Corporate Bond Fund - Direct Annual IDCW;11.9784
HSBC Corporate Bond Fund - Direct Growth;66.5577
HSBC Corporate Bond Fund - Direct Quarterly IDCW;11.5734
HSBC Corporate Bond Fund - Direct Semi Annual IDCW;20.1678
HSBC Corporate Bond Fund - Regular Annual IDCW;11.7987
HSBC Corporate Bond Fund - Regular Growth;62.9169
HSBC Corporate Bond Fund - Regular Quarterly IDCW;11.2177
HSBC Corporate Bond Fund - Regular Semi Annual IDCW;17.0205
HSBC Corporate Bond Fund -Regular Plan - Bonus;23.8993
ICICI Prudential Corporate Bond Fund - Bonus;14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW;10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW;10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW;12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth;26.5295
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option;12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW;10.2485
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW;14.9318
